,nn,sp_simp,Type,Species,Width,Height,sp_simp,Type,Species,Width,Height
275,1.166190379,ephedra,shrub,ephedra,112,60,yuc.sch,yucca,yuc.sch,258,240
277,0.905538514,ephedra,shrub,ephedra,107,60,amb.sal,shrub,amb.sal,47,44
278,0.838152731,ephedra,shrub,ephedra,112,56,amb.sal,shrub,amb.sal,47,44
288,0.565685425,ephedra,shrub,ephedra,109,58,amb.sal,shrub,amb.sal,47,44
292,1.550806242,ephedra,shrub,ephedra,96,45,cyl.ram,cactus,cyl.ram,47,75
296,1.382931669,ephedra,shrub,ephedra,85,57,amb.sal,shrub,amb.sal,111,73
311,1.54029218,ephedra,shrub,ephedra,122,50,u3,shrub,u3,64,46
332,1.05,ephedra,shrub,ephedra,89,46,ephedra,shrub,ephedra,131,53
333,1.05,ephedra,shrub,ephedra,131,53,ephedra,shrub,ephedra,89,46
345,0.452769257,ephedra,shrub,ephedra,155,68,u3,shrub,u3,41,43
347,0.807774721,ephedra,shrub,ephedra,105,45,ephedra,shrub,ephedra,81,50
348,0.807774721,ephedra,shrub,ephedra,81,50,ephedra,shrub,ephedra,105,45
356,0.509901951,ephedra,shrub,ephedra,52,41,amb.sal,shrub,amb.sal,80,69
365,0.55,ephedra,shrub,ephedra,120,49,u3,shrub,u3,23,35
375,1.389244399,ephedra,shrub,ephedra,67,42,u3,shrub,u3,85,45
383,0.380788655,ephedra,shrub,ephedra,87,60,u3,shrub,u3,87,53
389,0.680073525,ephedra,shrub,ephedra,43,52,ephedra,shrub,ephedra,117,75
390,0.680073525,ephedra,shrub,ephedra,117,75,ephedra,shrub,ephedra,43,52
396,1.876832438,ephedra,shrub,ephedra,57,50,men.spi,shrub,men.spi,37,17
412,0.715891053,ephedra,shrub,ephedra,17,38,yuc.sch,yucca,yuc.sch,185,235
417,1.767766953,ephedra,shrub,ephedra,155,60,u3,shrub,u3,42,43
422,0.827647268,ephedra,shrub,ephedra,108,77,lar.tri,shrub,lar.tri,17,12
423,1.079351657,ephedra,shrub,ephedra,90,46,ephedra,shrub,ephedra,108,77
434,1.225765067,ephedra,shrub,ephedra,39,19,amb.sal,shrub,amb.sal,57,50
440,0.55,ephedra,shrub,ephedra,97,56,u3,shrub,u3,49,46
446,0.403112888,ephedra,shrub,ephedra,70,48,tha.mon,shrub,tha.mon,89,43
448,2.512468905,ephedra,shrub,ephedra,165,89,tha.mon,shrub,tha.mon,89,43
449,3,ephedra,shrub,ephedra,104,48,lar.tri,shrub,lar.tri,417,235
457,1.382931668,ephedra,shrub,ephedra,80,80,tha.mon,shrub,tha.mon,18,14
458,0.781024967,ephedra,shrub,ephedra,54,59,tha.mon,shrub,tha.mon,18,14
486,0.206155281,ephedra,shrub,ephedra,69,50,amb.dum,shrub,amb.dum,44,39
488,1.408012784,ephedra,shrub,ephedra,154,61,amb.sal,shrub,amb.sal,26,27
514,0.6,ephedra,shrub,ephedra,40,50,ephedra,shrub,ephedra,55,54
515,0.6,ephedra,shrub,ephedra,55,54,ephedra,shrub,ephedra,40,50
529,1.054751156,ephedra,shrub,ephedra,112,56,u3,shrub,u3,46,37
532,0.430116263,ephedra,shrub,ephedra,165,60,men.spi,shrub,men.spi,50,42
538,1.408012784,ephedra,shrub,ephedra,20,36,noID,shrub,?,74,45
