,names,Joincount,Expected,Variance,z.value,p,transect
125,ephedra:dense.u3,1.541666667,0.744101633,0.252440399,1.587401098,0.112421831,5
126,eri.coo:amb.dum,0,0.007259528,0.002848886,-0.13601,0.891813376,5
127,eri.coo:amb.sal,0,0.096188748,0.034650585,-0.516736317,0.60534024,5
128,eri.coo:cyl.ech,0,0.038112523,0.014530898,-0.316170591,0.751873028,5
129,eri.coo:cyl.ram,0,0.034482759,0.013192321,-0.300221225,0.764008416,5
130,eri.coo:dense.u3,0,0.00907441,0.003555145,-0.152191276,0.879036075,5
131,eri.coo:ephedra,0,0.148820327,0.050774359,-0.660450129,0.508965012,5
132,eri.fas:amb.dum,0,0.029038113,0.011338869,-0.272698981,0.785084618,5
133,eri.fas:amb.sal,0.375,0.384754991,0.137974421,-0.026261987,0.979048375,5
134,eri.fas:cyl.ech,0,0.152450091,0.057842956,-0.633873281,0.526163524,5
135,eri.fas:cyl.ram,0,0.137931034,0.052513577,-0.601902563,0.547238998,5
136,eri.fas:dense.u3,0,0.036297641,0.014149971,-0.305141036,0.760258738,5
137,eri.fas:ephedra,0.75,0.595281307,0.202238598,0.344041447,0.730815116,5
138,eri.fas:eri.coo,0,0.007259528,0.002848886,-0.13601,0.891813376,5
139,lar.tri:amb.dum,0,0.290381125,0.106587591,-0.889436732,0.373768412,5
140,lar.tri:amb.sal,1.041666667,3.847549909,1.304393917,-2.456774032,0.014019084,5
141,lar.tri:cyl.ech,0.375,1.524500907,0.544753383,-1.55743292,0.119367735,5
142,lar.tri:cyl.ram,1.375,1.379310345,0.494450809,-0.006129859,0.995109111,5
143,lar.tri:dense.u3,0,0.362976407,0.133026765,-0.995196597,0.319640657,5
144,lar.tri:ephedra,7.558333333,5.952813067,1.919325524,1.158888018,0.246501834,5
145,lar.tri:eri.coo,0.416666667,0.072595281,0.026771532,2.102867673,0.035477338,5
146,lar.tri:eri.fas,0,0.290381125,0.106587591,-0.889436732,0.373768412,5
147,men.spi:amb.dum,0,0.130671506,0.049834718,-0.585349018,0.558313061,5
148,men.spi:amb.sal,1.408333333,1.731397459,0.607698592,-0.414423735,0.67856381,5
149,men.spi:cyl.ech,1.991666667,0.686025408,0.254399972,2.588602316,0.009636631,5
150,men.spi:cyl.ram,0,0.620689655,0.230941228,-1.291587317,0.196500099,5
151,men.spi:dense.u3,0,0.163339383,0.062192105,-0.654972826,0.51248525,5
152,men.spi:ephedra,2.433333333,2.67876588,0.892038112,-0.259860607,0.794971298,5
153,men.spi:eri.coo,0,0.032667877,0.012519455,-0.291963252,0.770314721,5
154,men.spi:eri.fas,0,0.130671506,0.049834718,-0.585349018,0.558313061,5
155,men.spi:lar.tri,1.016666667,1.306715064,0.469174887,-0.423450929,0.671966293,5
156,noID:amb.dum,0,0.108892922,0.041741466,-0.532986,0.594043272,5
157,noID:amb.sal,1.208333333,1.442831216,0.50877019,-0.328759338,0.7423376,5
158,noID:cyl.ech,0.708333333,0.57168784,0.213052358,0.296041189,0.767198626,5
159,noID:cyl.ram,1.25,0.517241379,0.193409928,1.666178608,0.095677845,5
160,noID:dense.u3,0,0.136116152,0.052091534,-0.596384148,0.550918628,5
161,noID:ephedra,2.516666667,2.2323049,0.746585733,0.329102636,0.742078112,5
162,noID:eri.coo,0,0.02722323,0.010486546,-0.265841898,0.790360974,5
163,noID:eri.fas,0.833333333,0.108892922,0.041741466,3.545837417,0.000391368,5
164,noID:lar.tri,0.416666667,1.08892922,0.392848585,-1.072571675,0.283463339,5
165,noID:men.spi,1.166666667,0.490018149,0.183537534,1.579431111,0.114237206,5
166,PG:amb.dum,0,0.036297641,0.014149971,-0.305141036,0.760258738,5
167,PG:amb.sal,1.25,0.480943739,0.172206393,1.853247733,0.063846859,5
168,PG:cyl.ech,0.416666667,0.190562613,0.072186764,0.841549293,0.400040282,5
169,PG:cyl.ram,0,0.172413793,0.065535426,-0.673494328,0.500632856,5
170,PG:dense.u3,0,0.045372051,0.017658044,-0.341442132,0.732770762,5
171,PG:ephedra,0.916666667,0.744101633,0.252440399,0.34345779,0.731254091,5
172,PG:eri.coo,0,0.00907441,0.003555145,-0.152191276,0.879036075,5
173,PG:eri.fas,0,0.036297641,0.014149971,-0.305141036,0.760258738,5
174,PG:lar.tri,0,0.362976407,0.133026765,-0.995196597,0.319640657,5
175,PG:men.spi,0,0.163339383,0.062192105,-0.654972826,0.51248525,5
176,PG:noID,0,0.136116152,0.052091534,-0.596384148,0.550918628,5
177,sal.mex:amb.dum,0,0.029038113,0.011338869,-0.272698981,0.785084618,5
178,sal.mex:amb.sal,1.541666667,0.384754991,0.137974421,3.114590213,0.001842006,5
179,sal.mex:cyl.ech,0,0.152450091,0.057842956,-0.633873281,0.526163524,5
180,sal.mex:cyl.ram,0,0.137931034,0.052513577,-0.601902563,0.547238998,5
181,sal.mex:dense.u3,0,0.036297641,0.014149971,-0.305141036,0.760258738,5
182,sal.mex:ephedra,0.833333333,0.595281307,0.202238598,0.529346273,0.596565261,5
183,sal.mex:eri.coo,0,0.007259528,0.002848886,-0.13601,0.891813376,5
184,sal.mex:eri.fas,0.541666667,0.029038113,0.011338869,4.814131222,1.48E-06,5
185,sal.mex:lar.tri,0,0.290381125,0.106587591,-0.889436732,0.373768412,5
186,sal.mex:men.spi,0,0.130671506,0.049834718,-0.585349018,0.558313061,5
187,sal.mex:noID,0,0.108892922,0.041741466,-0.532986,0.594043272,5
188,sal.mex:PG,0.333333333,0.036297641,0.014149971,2.497070812,0.012522395,5
189,tha.mon:amb.dum,0,0.246823956,0.091562941,-0.815694327,0.414674984,5
190,tha.mon:amb.sal,3.85,3.270417423,1.119409454,0.547798497,0.583830271,5
191,tha.mon:cyl.ech,0.708333333,1.295825771,0.467811168,-0.858948228,0.39036908,5
192,tha.mon:cyl.ram,2.766666667,1.172413793,0.424630223,2.446536827,0.014423606,5
193,tha.mon:dense.u3,0,0.308529946,0.114273085,-0.912694319,0.361403332,5
194,tha.mon:ephedra,4.141666667,5.059891107,1.646026927,-0.715698951,0.474177259,5
195,tha.mon:eri.coo,0.416666667,0.061705989,0.022999091,2.340587671,0.019253417,5
196,tha.mon:eri.fas,0.416666667,0.246823956,0.091562941,0.561289663,0.574600087,5
197,tha.mon:lar.tri,3.333333333,2.468239564,0.863618898,0.930898039,0.351906309,5
198,tha.mon:men.spi,1.333333333,1.110707804,0.402931396,0.350719094,0.725799099,5
199,tha.mon:noID,1.083333333,0.925589837,0.337401492,0.271567606,0.78595451,5
200,tha.mon:PG,0.5,0.308529946,0.114273085,0.566407357,0.571116895,5
201,tha.mon:sal.mex,0,0.246823956,0.091562941,-0.815694327,0.414674984,5
202,u2:amb.dum,0,0.007259528,0.002848886,-0.13601,0.891813376,5
203,u2:amb.sal,0,0.096188748,0.034650585,-0.516736317,0.60534024,5
204,u2:cyl.ech,0,0.038112523,0.014530898,-0.316170591,0.751873028,5
205,u2:cyl.ram,0,0.034482759,0.013192321,-0.300221225,0.764008416,5
206,u2:dense.u3,0,0.00907441,0.003555145,-0.152191276,0.879036075,5
207,u2:ephedra,0,0.148820327,0.050774359,-0.660450129,0.508965012,5
208,u2:eri.coo,0,0.001814882,0.000715799,-0.067834833,0.945917115,5
209,u2:eri.fas,0,0.007259528,0.002848886,-0.13601,0.891813376,5
210,u2:lar.tri,0.833333333,0.072595281,0.026771532,4.649417318,3.33E-06,5
211,u2:men.spi,0,0.032667877,0.012519455,-0.291963252,0.770314721,5
212,u2:noID,0,0.02722323,0.010486546,-0.265841898,0.790360974,5
213,u2:PG,0,0.00907441,0.003555145,-0.152191276,0.879036075,5
214,u2:sal.mex,0,0.007259528,0.002848886,-0.13601,0.891813376,5
215,u2:tha.mon,0,0.061705989,0.022999091,-0.406885288,0.684092242,5
216,u3:amb.dum,1.083333333,1.691470054,0.408484771,-0.951509861,0.341345615,5
217,u3:amb.sal,24.075,22.41197822,5.245020139,0.726146681,0.467748854,5
218,u3:cyl.ech,10.64166667,8.880217786,2.121532765,1.209330963,0.22653572,5
219,u3:cyl.ram,8.291666667,8.034482759,1.921931512,0.185513209,0.852826521,5
220,u3:dense.u3,1.75,2.114337568,0.510283663,-0.51003282,0.610028469,5
221,u3:ephedra,28.60833333,34.67513612,7.961650523,-2.150098331,0.031547438,5
222,u3:eri.coo,0.291666667,0.422867514,0.102314573,-0.410173775,0.681678477,5
223,u3:eri.fas,1.541666667,1.691470054,0.408484771,-0.234387097,0.814684475,5
224,u3:lar.tri,18.54166667,16.91470054,3.992025057,0.814295211,0.415475853,5
225,u3:men.spi,8.441666667,7.611615245,1.821937505,0.614947811,0.538589187,5
226,u3:noID,3.375,6.343012704,1.521181962,-2.406440744,0.016108817,5
227,u3:PG,1.333333333,2.114337568,0.510283663,-1.093320664,0.274253033,5
228,u3:sal.mex,0.791666667,1.691470054,0.408484771,-1.40786071,0.159172319,5
229,u3:tha.mon,12.325,14.37749546,3.406371174,-1.112080489,0.266103545,5
230,u3:u2,0.416666667,0.422867514,0.102314573,-0.019385735,0.98453339,5
231,yuc.sch:amb.dum,0,0.094373866,0.036298735,-0.495342965,0.620358047,5
232,yuc.sch:amb.sal,0.833333333,1.250453721,0.442294656,-0.627199309,0.530528596,5
233,yuc.sch:cyl.ech,0,0.495462795,0.185253419,-1.151139436,0.249674876,5
234,yuc.sch:cyl.ram,0,0.448275862,0.168175972,-1.093108776,0.274346043,5
235,yuc.sch:dense.u3,0,0.117967332,0.04529898,-0.554265117,0.579397419,5
236,yuc.sch:ephedra,2.666666667,1.934664247,0.648901782,0.908705242,0.363505736,5
237,yuc.sch:eri.coo,0,0.023593466,0.009119347,-0.247064234,0.804858513,5
238,yuc.sch:eri.fas,0,0.094373866,0.036298735,-0.495342965,0.620358047,5
239,yuc.sch:lar.tri,0.416666667,0.943738657,0.341548937,-0.90186902,0.36712645,5
240,yuc.sch:men.spi,0.333333333,0.424682396,0.159592585,-0.22866397,0.819130101,5
241,yuc.sch:noID,0.375,0.353901996,0.133663771,0.057707799,0.953981382,5
242,yuc.sch:PG,0.416666667,0.117967332,0.04529898,1.403427701,0.160489337,5
243,yuc.sch:sal.mex,0,0.094373866,0.036298735,-0.495342965,0.620358047,5
244,yuc.sch:tha.mon,0.5,0.802177858,0.293353705,-0.557913474,0.57690347,5
245,yuc.sch:u2,0,0.023593466,0.009119347,-0.247064234,0.804858513,5
246,yuc.sch:u3,7.375,5.497277677,1.320033665,1.634326662,0.102190278,5
247,Jtot,206.8833333,214.615245,12.83997056,-2.157768607,0.030945827,5
248,,NA,NA,NA,NA,NA,5
249,amb.sal:amb.sal,6.325,2.124463519,0.693493113,5.044099962,4.56E-07,6
250,cyl.aca:cyl.aca,0,0,0,NA,NA,6
251,cyl.ech:cyl.ech,0.75,0.450643777,0.162766697,0.742002751,0.458085669,6
252,cyl.ram:cyl.ram,0.25,0.32832618,0.120053759,-0.226057576,0.82115664,6
253,ephedra:ephedra,20.33333333,9.991416309,2.568865522,6.452534928,1.10E-10,6
254,eri.fas:eri.fas,5.5,2.221030043,0.721883187,3.859259429,0.000113731,6
255,lar.tri:lar.tri,2.666666667,2.319742489,0.750702348,0.400406095,0.688857435,6
256,men.spi:men.spi,0,0.045064378,0.017226554,-0.343347727,0.73133688,6
257,noID:noID,2.833333333,0.25751073,0.094930553,8.360128344,6.27E-17,6
258,PG:PG,0.5,0.32832618,0.120053759,0.495468659,0.62026934,6
259,sal.mex:sal.mex,0,0,0,NA,NA,6
260,tha.mon:tha.mon,0,0.060085837,0.022877092,-0.397257137,0.691177852,6
261,u2:u2,0,0,0,NA,NA,6
262,u3:u3,23.78333333,19.69957082,4.146396214,2.005511142,0.044908431,6
263,yuc.sch:yuc.sch,0,0.021459227,0.008268777,-0.235989909,0.813440501,6
264,cyl.aca:amb.sal,0,0.096566524,0.034382376,-0.520785223,0.602516399,6
265,cyl.ech:amb.sal,1.616666667,2.027896996,0.696190804,-0.492857076,0.622113579,6
266,cyl.ech:cyl.aca,0,0.045064378,0.016878108,-0.346873802,0.728686129,6
267,cyl.ram:amb.sal,1.416666667,1.738197425,0.600057145,-0.415074658,0.67808725,6
268,cyl.ram:cyl.aca,0,0.038626609,0.014556199,-0.320156697,0.748849547,6
269,cyl.ram:cyl.ech,0.291666667,0.811158798,0.294019496,-0.958056032,0.338034505,6
270,ephedra:amb.sal,6.75,9.36695279,2.76220078,-1.574592818,0.115350462,6
271,ephedra:cyl.aca,1,0.208154506,0.065776524,3.087485961,0.002018573,6
272,ephedra:cyl.ech,2.208333333,4.371244635,1.339361556,-1.868916057,0.061634494,6
273,ephedra:cyl.ram,2.375,3.746781116,1.153417176,-1.277296179,0.201497702,6
274,eri.fas:amb.sal,3.125,4.442060086,1.454239469,-1.092163415,0.27476128,6
275,eri.fas:cyl.aca,0,0.098712446,0.035070401,-0.527110353,0.598116958,6
276,eri.fas:cyl.ech,4.058333333,2.072961373,0.710190546,2.355886917,0.018478542,6
