FID,Species,Name,Width,Length,Height,Transect,QN,QL,X,Y,Notes,sp_simp,Type,easting,northing,,,,
209,cyl.ech, ,37,35,31,6,5,R,970,20, ,cyl.ech,cactus,622565.077,3849088.192,,,,
210,u3, ,40,37,50,6,5,R,730,80, ,u3,shrub,622562.677,3849088.792,,,,
211,ephedra, ,116,90,70,6,5,R,695,110, ,ephedra,shrub,622562.327,3849089.092,,,,
212,u3, ,42,37,37,6,5,R,655,60, ,u3,shrub,622561.927,3849088.592,,,,
213,u3, ,70,53,39,6,5,L,270,0, ,u3,shrub,622568.077,3849087.992,,,,
214,PG, ,85,90,73,6,5,L,240,95, ,PG,shrub,622567.777,3849088.942,,,,
215,amb.sal, ,70,80,60,6,5,L,340,35, ,amb.sal,shrub,622568.777,3849088.342,,,,
216,u3, ,33,37,33,6,5,L,60,960, ,u3,shrub,622565.977,3849097.592,,,,
217,eri.fas, ,19,20,40,6,5,L,240,900, ,eri.fas,shrub,622567.777,3849096.992,,,,
218,cyl.ech, ,23,28,49,6,5,L,480,740, ,cyl.ech,cactus,622570.177,3849095.392,,,,
219,u3, ,49,28,34,6,5,L,395,665, ,u3,shrub,622569.327,3849094.642,,,,
220,u3, ,30,40,26,6,5,L,495,780, ,u3,shrub,622570.327,3849095.792,,,,
221,cyl.ram, ,18,8,10,6,5,L,485,740, ,cyl.ram,cactus,622570.227,3849095.392,,,,
222,eri.fas, ,10,7,8,6,5,L,515,780,sample,eri.fas,shrub,622570.527,3849095.792,,,,
223,amb.sal, ,44,58,60,6,5,L,565,975, ,amb.sal,shrub,622571.027,3849097.742,,,,
224,PG, ,67,113,60,6,5,L,590,960, ,PG,shrub,622571.277,3849097.592,,,,
225,u3, ,33,27,35,6,5,L,630,950, ,u3,shrub,622571.677,3849097.492,,,,
226,u3, ,20,20,30,6,5,L,605,950, ,u3,shrub,622571.427,3849097.492,,,,
227,u3, ,46,30,38,6,5,L,710,870, ,u3,shrub,622572.477,3849096.692,,,,
228,ephedra, ,67,74,45,6,5,L,800,780, ,ephedra,shrub,622573.377,3849095.792,,,,
229,u3, ,110,85,60,6,5,L,945,925, ,u3,shrub,622574.827,3849097.242,,,,
230,cyl.ech, ,44,63,35,6,5,L,900,785, ,cyl.ech,cactus,622574.377,3849095.842,,,,
231,u3, ,44,63,35,6,5,L,900,795,surround SC,u3,shrub,622574.377,3849095.942,,,,
232,PG, ,65,52,52,6,5,L,870,345, ,PG,shrub,622574.077,3849091.442,,,,
233,u3, ,38,35,30,6,5,L,960,320, ,u3,shrub,622574.977,3849091.192,,,,
234,u3, ,40,36,30,6,5,L,940,85, ,u3,shrub,622574.777,3849088.842,,,,
235,eri.fas, ,47,79,30,6,5,L,840,25, ,eri.fas,shrub,622573.777,3849088.242,,,,
236,u3, ,60,69,45,6,5,L,850,190, ,u3,shrub,622573.877,3849089.892,,,,
237,u3, ,65,53,48,6,5,L,735,110, ,u3,shrub,622572.727,3849089.092,,,,
238,PG, ,88,80,85,6,5,L,580,80, ,PG,shrub,622571.177,3849088.792,,,,
239,eri.fas, ,20,18,16,6,5,L,460,170, ,eri.fas,shrub,622569.977,3849089.692,,,,
240,u3, ,50,47,40,6,4,R,95,60, ,u3,shrub,622556.327,3849098.592,,,,
241,ephedra, ,115,91,60,6,4,R,65,210, ,ephedra,shrub,622556.027,3849100.092,,,,
242,ephedra, ,138,164,45,6,4,R,310,85,ring with 4 clumps,ephedra,shrub,622558.477,3849098.842,,,,
243,eri.fas, ,77,72,41,6,4,R,130,530, ,eri.fas,shrub,622556.677,3849103.292,,,,
244,cyl.ech, ,45,51,45,6,4,R,100,740, ,cyl.ech,cactus,622556.377,3849105.392,,,,
245,eri.fas, ,23,18,25,6,4,R,95,785, ,eri.fas,shrub,622556.327,3849105.842,,,,
246,eri.fas, ,66,47,50,6,4,R,255,840, ,eri.fas,shrub,622557.927,3849106.392,,,,
247,ephedra, ,38,36,36,6,4,R,320,640, ,ephedra,shrub,622558.577,3849104.392,,,,
248,ephedra, ,88,100,46,6,4,R,470,665, ,ephedra,shrub,622560.077,3849104.642,,,,
249,u3, ,105,50,75,6,4,R,470,790, ,u3,shrub,622560.077,3849105.892,,,,
250,lar.tri, ,353,276,204,6,4,R,470,585, ,lar.tri,shrub,622560.077,3849103.842,,,,
251,u3, ,53,36,35,6,4,R,665,650, ,u3,shrub,622562.027,3849104.492,,,,
252,u3, ,52,68,41,6,4,R,700,735, ,u3,shrub,622562.377,3849105.342,,,,
253,ephedra, ,105,50,75,6,4,R,850,790, ,ephedra,shrub,622563.877,3849105.892,,,,
254,lar.tri, ,102,103,168,6,4,R,890,760, ,lar.tri,shrub,622564.277,3849105.592,,,,
255,ephedra, ,76,80,50,6,4,R,920,850, ,ephedra,shrub,622564.577,3849106.492,,,,
256,ephedra, ,105,95,57,6,4,R,965,970, ,ephedra,shrub,622565.027,3849107.692,,,,
