"","names","Joincount","Expected","Variance","z.value","p","transect"
"1756","ephedra:amb.sal",6.18333333333333,7.88747731397459,2.49379475340874,-1.07913538024337,0.280527381177665,5
"1757","ephedra:cyl.aca",0,0,0,NA,NA,5
"1758","ephedra:cyl.ech",3.33333333333333,3.12522686025408,1.03620223562941,0.20443880161157,0.838010611117424,5
"1759","ephedra:cyl.ram",3.6,2.82758620689655,0.940235959407556,0.796584023865418,0.425692658939932,5
"1760","ephedra:dense.u3",1.54166666666667,0.744101633393829,0.252440399019525,1.58740109833723,0.112421830712716,5
"1761","eri.coo:amb.dum",0,0.00725952813067151,0.00284888621368674,-0.136010000020996,0.891813375556066,5
"1762","eri.coo:amb.sal",0,0.0961887477313975,0.0346505849295131,-0.516736317169535,0.60534024044993,5
"1763","eri.coo:cyl.aca",0,0,0,NA,NA,5
"1764","eri.coo:cyl.ech",0,0.0381125226860254,0.0145308978307674,-0.316170591185905,0.751873028492252,5
"1765","eri.coo:cyl.ram",0,0.0344827586206897,0.0131923212364123,-0.300221225305194,0.76400841595121,5
"1766","eri.coo:dense.u3",0,0.00907441016333938,0.00355514481485228,-0.152191275741652,0.879036074759872,5
"1767","eri.coo:ephedra",0,0.148820326678766,0.050774358854531,-0.660450129194132,0.508965011925415,5
"1768","eri.fas:amb.dum",0,0.029038112522686,0.0113388690259194,-0.272698980547754,0.785084618419005,5
"1769","eri.fas:amb.sal",0.375,0.38475499092559,0.137974420637996,-0.0262619868888803,0.979048374514292,5
"1770","eri.fas:cyl.aca",0,0,0,NA,NA,5
"1771","eri.fas:cyl.ech",0,0.152450090744102,0.0578429564784561,-0.633873281180508,0.526163523918059,5
"1772","eri.fas:cyl.ram",0,0.137931034482759,0.0525135769384619,-0.60190256337415,0.547238997852816,5
"1773","eri.fas:dense.u3",0,0.0362976406533575,0.014149971353721,-0.30514103606851,0.760258738344222,5
"1774","eri.fas:ephedra",0.75,0.595281306715064,0.202238598266246,0.344041446985038,0.730815116323463,5
"1775","eri.fas:eri.coo",0,0.00725952813067151,0.00284888621368674,-0.136010000020996,0.891813375556066,5
"1776","lar.tri:amb.dum",0,0.29038112522686,0.106587590799884,-0.889436731647076,0.373768411529171,5
"1777","lar.tri:amb.sal",1.04166666666667,3.8475499092559,1.30439391677316,-2.45677403202699,0.014019083668498,5
"1778","lar.tri:cyl.aca",0,0,0,NA,NA,5
"1779","lar.tri:cyl.ech",0.375,1.52450090744102,0.544753383430953,-1.55743292001677,0.119367735284185,5
"1780","lar.tri:cyl.ram",1.375,1.37931034482759,0.494450808522124,-0.00612985878116326,0.995109110947957,5
"1781","lar.tri:dense.u3",0,0.362976406533575,0.133026764854639,-0.995196596562374,0.31964065677555,5
"1782","lar.tri:ephedra",7.55833333333333,5.95281306715064,1.91932552443705,1.15888801772961,0.24650183367562,5
"1783","lar.tri:eri.coo",0.416666666666667,0.0725952813067151,0.0267715318871007,2.10286767342574,0.0354773383414593,5
"1784","lar.tri:eri.fas",0,0.29038112522686,0.106587590799884,-0.889436731647076,0.373768411529171,5
"1785","men.spi:amb.dum",0,0.130671506352087,0.0498347182112579,-0.585349018032992,0.558313061463138,5
"1786","men.spi:amb.sal",1.40833333333333,1.73139745916515,0.607698592189792,-0.414423734524473,0.678563809789681,5
"1787","men.spi:cyl.aca",0,0,0,NA,NA,5
